TEAM NAMES,Series Number,Filename,Name,Description,Gender,Attributes,UUID,hash_value
"","82","bolanle-pepper-dem","bolanle pepper dem","A lady that loves to show off.","Male","hair: bald; eyes: back; teeth: none; clothing: kente; accessories: glasses; expression: proud; strength: strong; weakness: big spender","46966104-775b-4443-90bb-b35afd121653","59e717f7dd7e009e9a84f3b3e3ba1a80e8ea4f507a4b27cbb0af833879dc8e3c"
"","83","tayo-tailor","tayo tailor","A professional fashion designer.","Male","hair: black; eyes: black; teeth: none; clothing: orange shirt; accessories: glasses; expression: inquisitive; strength: creativity; weakness: opinionated","70828783-ac38-48cf-b966-cfebc92ebd86","d64568d6d888ffad5514a04e93f99db29a2155aa05f7260fbec22f60fc2c4537"
"","84","ajasco-comedian","ajasco comedian","A newbie comedian.","Male","hair: black; eyes: black; teeth: none; clothing: green shirt; accessories: glasses; expression: bold; strength: optimistic; weakness: unobservant","8bebdb3a-f0a8-47ba-892f-39aa275fbd0d","3085fc62a8500f6a3bf53791330c452c6336d678ce7b3b7db81e1f90606f4306"
"","85","tobi-babyboy","tobi babyboy","A guy who does not like stress.","Male","hair: black; eyes: black; teeth: none; clothing: white shirt; accessories: glasses; expression: friendly; strength: outgoing; weakness: lacks boundaries","3da592d4-5dec-4bc5-8412-f1b2a0269f95","6a895d80b3a8350b74376435c842d6afb3fdf5d57562a939de573bf99f257f71"
"","86","esther-sassy","esther sassy","A rude lady.","Female","hair: brown; eyes: grey; teeth: none; clothing: animal print; accessories: necklace and earrings; expression: bold; strength: confident; weakness: judgemental","0642a25a-966d-446f-b021-a6d18e7fa0c5","dd7974057ab658e9f0763185615f7981affec1f812a309fb5264cb469b93715c"
"","87","ozo-fineboi","ozo fineboi","A charming person.","Female","hair: brown; eyes: blue; teeth: none; clothing: aztec print blouse;  accessories: choker and hookah; expression: blank; strength: charismatic; weakness: proud","f2286b4d-fae6-48cb-a686-badec16da1d8","bac2dab9a6689c8f5a64f292a388c64576c0189e43db42758ebf167649ffcad1"
"","88","ade-party-girl","ade party girl","The life of every party.","Female","hair: brown; eyes: blue; teeth: gap-tooth; clothing: one sleeved blue top; accessories: none; expression: scary; strength: adventurous; weakness: impulsive","7e3db30c-9faf-430d-ab48-b854fe0456b9","c1562eebf9f74f4d47d6ba6d92c319b0ab63c82e8a3ac11bcac9168b519ba2b7"
"","89","john-casco","john casco","A very observant person.","Female","hair: black; eyes: blue; teeth: none; clothing: one-sleeved ankara top; accessories: earrings and necklace;  expression: shocked; strength: unpredictable; weakness: loner","2eff88ef-5bc2-4779-917a-533e952e2953","9cb1680f1fc2bf9b63e5cdef80e579e75e9166c4a999269bce934687d1099b6c"
"","90","agha-uwa","agha uwa","A woman of high social class.","Female","hair: brown; eyes: blue; teeth: none; clothing: ankara top with strap and full sleeve; accessories: earrings; expression: sad; strength: daring; weakness: loner","8478a002-1eba-4a05-8b98-7170c6e39254","9708d87d0b9ce9a82e7415e91977b71d34503cd0610adccb8720c1284a58d7a2"
"","91","udeme-great","udeme great","A lady given to adventures.","Female","hair: purple; eyes: black; teeth: none; clothing: ankara top with blue sleeves; accessories: green necklace and green earrings; expression: clueless; strength: decisive; weakness: stubborn","d1476409-6f8b-4be9-8c93-24d9123749c5","99a21558eaa0d5af35397a1c36b627f81a5afef2cae570d073e719d8a7924629"
"","92","femi-tech-bro","femi tech bro","A rookie in the tech industry.","Female","hair: brown; eyes: black; teeth: none; clothing: ankara top with blue suspenders; accessories: green necklace; expression: mischievous; strength: creativity; weakness: procastination","ba3ec22a-13d5-4e19-9b7f-aac764fda28c","8413c203cf53d596bf57a77e0ace24b28b87a790cea7895835148ccf01b41ae1"
"","93","sai-baba","sai baba","A leader of a third-world country.","Female","hair: brown; eyes: black; teeth: none; clothing: off-shoulder ankara top; accessories: earrings and necklace; expression: anxious; strength: trend spotter; weakness: distracted easily","fdfff369-5b57-4612-9f89-f5d408f24a35","ae788ad36fe6e994a24a2e9b1ab1ff94ba79f1bf907c6037aacd301ff81d2683"
"","94","omo-pastor","omo pastor","A devout christian.","Female","hair: brown; eyes: black; teeth: none; clothing: spaghetti strap ankara top; accessories: green earrings and green necklace; expression: happy; strength: happiness; weakness: too emotional","49e09559-61a6-41ff-811a-272721a7475c","ac207dd0788002347d8bcdecf1db1d780b1352bbc2465e292d61eb7ac1bc983b"
"","95","obi-container","obi container","A rich South-Easterner.","Female","hair: brown; eyes: black; teeth: none; clothing: animal print top; accessories: green necklace; expression: surprised; strength: wealthy; weakness: risk taker","4b64cf48-94fa-4aed-8cf2-452974b48ee3","534e7eb803951144d6ac3d9f6332d7b64e2e95782b1bd49d7225cd114ab8cff4"
"","96","erigga-international","erigga international","Superstar from South-South.","Female","hair: brown; eyes: black; teeth: none; clothing: half ankara; accessories: green necklace and red scrunchie; expression: curious; strength: talented; weakness: overconfident","3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c","6c54417933342d0915d689860ed0555c1868909988f0a5be954a3cc28c5b6831"
"","97","ayo-web3-bro","ayo web3 bro","Someone with no actual knowledge of basic computer principles.","Female","hair: brown; eyes: blue; teeth: gap tooth; clothing: sleeveless ankara top; accessories: green necklace; expression: terrified; strength: tolerant; weakness: illiterate","c137ec2b-18cd-4c29-a194-af29ac9e6c1c","deb008dd0aca1da2143d3b83e087d259004094c829f3e3c62769dfced88decb1"
"","98","phoebe-queen-bee","phoebe queen bee","A self-centred woman.","Female","hair: brown flowing hair; eyes: blue; teeth: none; clothing: ankara top; accessories: none; expression: blank; strength: attractive; weakness: gullible","1277e9c0-81dc-4747-89df-a9d2ae4fcf96","b27ae54833182b17218f6b2326ed0ce7b874a7008b4c86268c1957388d66b9dd"
"","99","rachel-warri-babe","rachel warri babe","A highly disciplined woman.","Female","hair: red braids; eyes: white; teeth: none; clothing: yellow danshiki; accessories: none; expression: blank; strength: assertive; weakness: talkative","19e6af3b-ef2d-46ba-ba05-59fb612ebbee","b14bf781c77b1f14f58a987b6bd9c33d2b54eef221e349a7e06f03bac327a2d3"
"","100","adun-preacher","adun preacher","A religious woman.","Female","hair: black short hair; eyes: blue; teeth: none; clothing: blue paisley print blouse; accessories: ankara bonnet and hookah;  expression: blank; strength: bold; weakness: fake","cc4dfedf-c343-48db-ad67-e39452ec2380","31c9d6a6ac776dbc3a7343f9c11419c688d5873fee1eb1b6873b87298cf2c8fb"
"TEAM CHISEL","101","adebola-omo-oba","adebola omo oba","Adebola loves soft life with her fathers wealth.","Female","hair: brown; eyes: opened; teeth: white; clothing: ankara print; accessories:none; expression: staring; strength: bold and outspoken; weakness: pride","fbf43611-f267-4cba-bf4b-a3ffdc122589","8bb8da56d5882d69d351d2ae08493f3c5aa17b29a7f77ebe65f19200370c57e5"
"","102","chichi-the-dancer","chichi the dancer","Chichi loves dancing and party.","Female","hair: black; eyes: blue-opened; teeth: none; clothing: ankara print; accessories: none; expression: shocked; strength: dancing; weakness: lovergirl","e7c32b06-7022-49b4-bbe5-81e8c1d58583","335825920a10dea80f53d2c6a7fb54d27a7d91a0eedba41ce8e3de44400e2eb5"
"","103","hammed-the-farmer","hammed the farmer","Hammed owns a farm with his family.","Male","hair: none; eyes: opened; teeth: none; clothing: brown and cream buba; accessories: nose mask; expression: innocent; strength: farming; weakness: drinking","e57d8985-599e-49da-8d62-fc16b7ac93f2","eaf5485d7802815ba26e21bb252195a651e2d48c8772a862cdc4d6fddbb8ba7e"
"","104","farida-the-tivlady","farida the tivlady","Farida is a beautiful Tiv woman.","Female","hair: brown; eyes: opened; teeth: none; clothing: ankara print; accessories: lipgloss; expression: cool; strength: cooking; weakness: multitasking","31d3e229-003e-43c8-ba82-38f49cf58ccb","512e4b2e622b1115d65cb2725a84ec399d06128be74d53104966d9997d645212"
"","105","hannah-the-singer","hannah the singer","Hannah loves singing and belongs to choir.","Female","hair: blonde; eyes: opened; teeth: none; clothing: flower print dress; accessories: earrings; expression: angry; strength: singing; weakness: reading","281f5bd7-5282-458b-9811-e369980e7dee","ffae2a09c1458dd5ec8939b4990d7deb52948f26073e07f0d5805099be779963"
"","106","nonso-the-igbogirl","nonso the igbogirl","Nonso is a hardworking Igbo girl.","Female","hair: black; eyes: opened; teeth: none; clothing: leopard print blouse; accessories: none; expression: happy; strength: business; weakness: spending","5cfa76df-8376-4505-af12-78af24f108d6","e9c50beea859004df13157d83626685e5afc1fab605fab978ad9618c6e68563e"
"","107","shade-olori","shade olori","Shade loves soft life and makeup.","Female","hair: black; eyes: blue-opened; teeth: none; clothing: ankara print; accessories: none; expression: none; strength: makeup; weakness: sleeping","1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9","cbc40b731d2e34ddd82d560b0494033ec9bd59b29e889014ef7af8f5c123bda7"
"","108","quadri-the-teacher","quadri the teacher","Quadri is a devoted teacher that teaches mathematics.","Male","hair: none; eyes: opened; teeth: none; clothing: yellow on blue jean; accessories: nose mask; expression: none; strength: teaching; weakness: talking","d96a93e7-17a4-4efe-b09b-02185cc81ce8","2d0a8818cc6c27341430faaf2baa8fc5a8859ff88d70631e0b78a782a3de45c8"
"","109","Ifeanyi-the-dj","Ifeanyi the dj","Ifeanyi is a music dj that performs at events.","Male","hair: none; eyes: opened; teeth: opened; clothing: animal print; accessories: red cap; expression: none; strength: mixing songs; weakness: none","030f665d-2cd7-4376-aef5-4030dad9f2d6","1c39a7cde7220b196de88500bf0f0b15db805dc024ca7a85b79e2e82728aa7b3"
"","110","fayo-the-yorubademon","fayo the yorubademon","Fayo is a yoruba demon with excellent communication skills.","Male","hair: bald; eyes: opened; teeth: none; clothing: africa print; accessories: mask; expression: none; strength: determined; weakness: steals","e270e278-a9b5-408d-b527-d518239a997b","b3be8113f23ae7682007b511dcdb61c043b87e4340903401f5d146caea0b20e2"
"","111","nkechi-the-actress","nkechi the actress","Nkechi is an international actress that acts in hollywood.","Female","hair: purpule short hair; eyes: opened; teeth: none; clothing: native print; accessories: smoking; expression: rugged; strength: love; weakness: lie","34b1136d-00b1-4f29-8a03-5b02291d47d5","4c1ebe6326866fb90a15ecd2e1f482b214a52102fc278f6375d59bf31358e708"
"","112","hamzat-the-mallam","hamzat the mallam","Hamsat is a mallam doing burea de change for a living.","Male","hair: bald; eyes: opened; teeth: none; clothing: wrapper; accessories: none; expression: straight; strength: traditional; weakness: diabolic","592eff9f-93b2-4452-a2ed-5d44ebc969db","f734149d0028edfc0543cdfabb7041750da575c724a8bdffd218ed2c0b0f14f3"
"","113","nnena-pretty-girl","nnena pretty girl","Nnena is beautiful girl that loves to talk about her beauty.","Female","hair: brown bob marley; eyes: open; teeth: covered; clothing: african print; accessories: sucker; expression: none; strength: giver; weakness: possesive","d9477612-ad63-408e-8d12-24679c647b32","0c1cb3f0af0b2d26c25a4e7bd4c293b358018fb636b12d810e2bab8b4e24a4e8"
"","114","tunde-the-boss","tunde the boss","Tunde is a boss that loves to take charge at work.","Male","hair: capped; eyes: opened; teeth: white; clothing: native cloth; accessories: none; expression: none; strength: cooks well; weakness: bossy","7635c4ee-04f6-4872-bfc9-37e5a73c8fc6","e3d6279bc29b2032282a53e46776533f5aa1ec48239ffbfa6d466c9261b02a6e"
"","115","nnamdi-the-barber","nnamdi the barber","Nnamdi is a barber that devotes time to perfect his craft.","Male","hair: brown afro; eyes: open; teeth: smokey; clothing: africa print; accessories: none; expression: none; strength: determined; weakness: loves clubbing","152758f3-9414-45a2-a809-95cb05a3de13","5f4d155c028337d2ee427a60f3214a56d65c956943204d1ec7091e9da6e932f6"
"","116","amaka-the-hypepriestess","amaka the hypepriestess","Amaka is can never be intimidated no matter the circumstance. ","Female","hair: black hair; eyes: opened; teeth: open teeth; clothing: africa print; accessories: none; expression: laughing; strength: independent; weakness: insultive","c7726e84-3c5c-4e66-8677-cbfb5c9ee850","5239f79e6ac318fc3001c07db83324a1f7b37c8b3ab11523992b3c68f0394f41"
"","117","kemi-foodie","kemi foodie","Kemi loves food and can also prepare good meals. ","Female","hair: black har with scarf; eyes: partly opened; teeth: none; clothing: one hand style; accessories: none; expression: none; strength: can cook very well; weakness: dirtiness","3116cb6f-14c4-4d5a-af57-54253b72a309","0d359cf84acbf4cfd98d84efef4187d36290e4c091c5c4cee1e6ff639c25a3ad"
"","118","ada-the-fashionister","ada the fashionister","Ada loves fashion that she rarely repeats cloths.","Female","hair: brown afro; eyes: glasses; teeth: white; clothing: africa print; accessories: none; expression: smiling; strength: successful; weakness: too serious","a14df1c1-7a5a-4a33-8780-0fb01c593da6","1b3849428a3e4437cbe06eeee6bc8c1aae8050617b2769162c01b4a9118f8d2e"
"","119","kayode-the-baller","kayode the baller","Kayode loves life and lives it.","Male","hair: bald; eyes: wide opened; teeth: none; clothing: yellow on jeans; accessories: none; expression: none; strength: swaggy; weakness: loves women","fe17bfdc-c251-4654-8313-1ab793e11748","74c61b960fe75c2d9511251cb531ca55e0c664c392dc9515c2bea9e24f88c2fc"
"","120","kola-of-lagos","kola of lagos","Kola is the life of the party everywhere he is.","Male","hair: bald; eyes: opened; teeth: none; clothing: native; accessories: none; expression: none; strength: intelligent; weakness: shy","df295be1-1509-406e-a263-28a5dee0abca","e81d98fc223f387131f446473a7057c5661a9112ee938f2a586bc2018c5307ff"
"TEAM BRAINBOX","121","azikiwe-popular-trader","azikiwe popular trader","Azikiwe is a popular trader.","Male","hair: none; eyes: blue; teeth: none; clothing: purple and yellow; accessories: cap; expression: happy; strength:strong; weakness: shy","7ebde325-8efc-4997-811a-b5686269929e","b03d4713369c42760e01c13b5df9371c432552087a362b65ab6d17f84642716f"
"","122","obasanjo-funny-guy","obasanjo funny guy","Obasanjo is such a sweet guy loves by all. ","Male","hair:none ;eyes: black; teeth:small open teeth; clothing: sleeveless yellow ankara; accessories:none; expression: serious face; strength:mild; weakness:anger","c136a120-a339-4080-96ca-1c93845c5848","918c46e7be4988e7966484ec277d85552febcd5948c553e46f3fd0ce2ac88e3b"
"","123","yakubu-village-chief","yakubu village chief","Yakubu is the best village chieftain.","Male","hair:none ;eyes: blue; teeth:open white teeth; clothing: black isiagu; accessories:cap; expression:happy; strength:strong; weakness:impatience","5b0c0d26-d204-4264-b579-081ff9df935b","339e50ae931b6f6b70b58ae7fb6473dfdf6b1d1b8e494734af5f37edd0d09153"
"","124","abacha-loves-smoking","abacha loves smoking","Abacha loves taking cigarettes.","Male","hair:cute braided hair ;eyes: black ball white eye; teeth:none; clothing: mixed colors ankara wear; accessories:none; expression:happy;  strength:strong;  weakness: anger","8ac6d95f-0cf3-4f54-9cf2-be8834b3004c","cad088f9905b8617e24a660de1083ab66e7ca063c8b3cb6a23533b30f5535ead"
"","125","johnathan-good-leader","johnathan the humanitarian ","Johnathan is very progressive young man.","Male","hair:punk bearded man ;eyes: closed; teeth:none; clothing: white shirt and senator; accessories:cap; expression:bone face; strength:strong; weakness:pride","241e3713-4ce3-48d0-827f-b282ae2db6c4","32f3f5fba877c6c78d07e0e5ec00a4cb3b7517f2dfd48594e68ab3c16c282710"
"","126","johnathan-genz-kid","johnathan genz kid","Johnathan is zealous young man.","Male","hair:none ;eyes: blue;teeth: white; clothing: yellow ankara wear; accessories: traditional cap; expression:happy; strength:strong; weakness:arrogance","90c0ae09-a35f-42ad-b93c-dcf30169acd9","9b2b1560cacc4a443ae621e85b1ef090d070166b15474e47ca7248a1918e53ac"
"","127","eddy-the-community","eddy the community leader","Eddy has so much positive energy.","Male","hair:none ;eyes: blue; teeth:none; clothing: black isiagu wear; accessories: cap; expression: happy; strength: strong; weakness:emotional","5cabf9d9-882b-459e-9253-8c07eb045e2d","5b05027aaf80ca52a5cb15eee58198150a2976e45f598340b6f57fd24fc4ec6e"
"","128","olu-the-oba","olu the oba","Olu the great ruler in our land.","Male","hair: purple braided hair ;eyes: black; teeth: none; clothing: mixed color traditional wear; accessories: none; expression: serious face; strength:mild; weakness:anger","04c4b28a-aca0-44b1-a064-ed0d9d2a31ca","26b7085148a39456eb9b5dde37e3eddf419c48089bce91433bfdcad937865929"
"","129","edu-the-biggest-trader","edu the biggest trader","Edu is the biggest merchant in west coast.","Male","hair:none ;eyes: blue; teeth:closed; clothing: black and yellow collar native wear; accessories:cap; expression:happy; strength:strong; weakness:impatience","48d1de5f-5f3f-46aa-b2fd-68420a8e802b","7bc136dc94c4938d4f5c3aed5d832ec5bee9c5a907b7a1eb5815c97244df52b5"
"","130","james-importer-and-exporter","james importer and exporter","James is the sole importer and exporter of spare parts.","Male","hair:none ;eyes: blue; teeth:none; clothing: purple and yellow; accessories:cap; expression:happy; strength:strong; weakness:pride","22541251-022f-480c-8c1e-cf754dce16d6","a9b4533ca14584fdf3591d20e4c0ae20efddb2e4d701e4a2249cf5cf18dd726d"
"","131","lanre-the-dreaded-guy","lanre the dreaded guy","Lanre has a great reputation.","Male","hair: none ;eyes: none; teeth:white; clothing: ankara; accessories:cap; expression: happy; strength:strong; weakness:anger","66a054cd-5541-4000-98aa-8f2e9892d880","f2b995fed80ed4ce707cb1a188d7d0593d1f5547cb3e24856759ace2081efa85"
"","132","olamide-the-street-boy","olamide the street boy","Olamide has a sweet voice.","Male","hair:none ;eyes: white; teeth: none; clothing: green and blue; accessories: cap; expression: serious face; strength:strong; weakness:stubborn","d50a35b1-b42e-4e0c-8dd8-9b892b56d371","249e3e6f0eb67fa29b12ae93f2020cb1a3937050230142b94856bd7cefbfdafe"
"","133","uche-peace-loving-man","uche peace loving man","Uche man of peace and discipline.","Male","hair: yellow ;eyes: blue;teeth:none; clothing: yellow; accessories:none; expression:happy; strength:strong; weakness:emotional","6c9d6eae-2ea2-468c-a2c8-928aaafc084b","d2cac3bdc5fa4b7acb7498cde4b39cd609ccf20308f70d4ce716876090ddfbd1"
"","134","dave-the-tech-bro","dave the tech bro","Dave is a web3 enthusiast.","Male","hair: none ;eyes: none; teeth:white; clothing: none; accessories:cap; expression: serious face; strength:strong; weakness:none","c0857b11-bf0e-46a4-9108-b8eb93d83e74","1a6a0db9308a4fd9b67c3e4012b2327592a7a05290e117e94611accdd39992f8"
"","135","obi-the-biggest-humanitarian","obi the biggest humanitarian","Obi loves service to humanity.","Male","hair:none ;eyes: blue; teeth:white; clothing: brown; accessories:cap; expression:happy; strength: strong; weakness:none","201a408c-7a2e-42d9-a62c-0136c885c211","82758d23d605e7dd468cb1d038ed71f19d44adb7ed8c0a9fc104206586523989"
"","136","precious-the-emotional-girl","precious the emotional girl","Precious is soft hearted and sensitive.","Female","hair:none ;eyes: white; teeth: white; clothing: yellow and blue; accessories:cap; expression:angry; strength:strong; weakness:none","b6a41ff1-51ce-42f7-9933-85d0a22ced68","99054ad42748703c64eeee291aaaec0d1b6dd752e6f6a74be3ce734cf21c3d49"
"","137","ella-serious-minded","ella serious minded","Ella a dedicated young lady.","Female","hair: none ;eyes: white;teeth: white; clothing: black and yellow; accessories:cap; expression:happy; strength:strong; weakness:none","04036447-f43e-4bfb-9503-f55c9064b14e","a2d237719b0b2f598393e50d76b21014538e7de215435a360b26707469a8d867"
"","138","cynthia-cute-eyes","cynthia cute eyes","Cynthia with priceless cute eyes.","Female","hair:yellow ;eyes: blue;teeth:none; clothing: blue and yellow; accessories: none; expression: serious face; strength: mild; weakness:pride","5d12847b-6d71-4691-8337-2e6ef3e283b2","e3aec625dcd6a465a72ec32f341a2c59db07fbadacf34871b37c7954e4adede4"
"","139","mary-with-hair","mary with hair","Mary with her beautiful Afro.","Female","hair: none;eyes: none;teeth:none; clothing: casual ankara; accessories:cap; expression:scared; strength:sensitive; weakness: fearful","98035e8b-6540-4464-8a3c-fdac9f07b168","cc765b7498eeae372285ecd0900ca67b7d5bf08c4604d9f3b0e54a0348e6c7ff"
"","140","ada-chewing-bubble-gum","ada chewing bubble gum","Ada always chewing gum.","Female","hair: none;eyes: none;teeth: white; clothing: traditional wear; accessories:cap; expression:sassy; strength:decisive; weakness: insensitive","15309dc5-e483-4658-b503-db85ba2c1722","124da2d1a177f1dbfa3bd6db675125d94856bbbf4ded5478a9107eb0eb449683"
"TEAM PLUG","141","viganem-the-drummer-girl","viganem the drummer girl","She is known for typically playing the drum for 5 hours per day without a break.","Female","hair: none; eyes: none; teeth: none; clothing: ankara with drum patterns; accessories: none; expression: sumg; strength: none; weakness: none","5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4","f6df94b7560c481bb141c813bce0c464d4bde807a80bc95a548a03f832469305"
"","142","lenusuka-the-big-woman","lenusuka the big woman","The lady that loves spending money and buying everybody asaobi.","Female","hair: purple; eyes: none; teeth: none; clothing: black and blue ankara; accessories: none; expression: serious; strength: none; weakness: none","e564a43a-ef77-487d-a88e-749d20a09fd8","52721c20c9a7ba977c7919de01bf59141edd618ce0a2417af9db9a7aad4c0272"
"","143","enepua-the-clout-queen","enepua the clout queen","The lady that travels all day and enjoys snapping food at restaurants.","Female","hair: purple; eyes: none; teeth: none; clothing: black ankara with yellow and blue gear pattern; accessories: none; expression: chill; strength: none; weakness: none","6dc7e452-0626-4f4c-a28c-f5db3532e305","249831553d8e74e06d7c27115f3fc42c13577ef22d1cbacd2f43a127a55c41a5"
"","144","usifong-queen-of-mushin","usifong queen of mushin","Changes her hair every 2 weeks and cannot finish one pure water.","Female","hair: brown afro; eyes: none; teeth: none; clothing: black ankara with yellow peach and blue gear pattern; accessories: none; expression: unbothered; strength: none; weakness: none","221263d0-8775-49f8-bbf8-4b08b49e1482","6d381f0422dc73204d4989101b2ba887ac60cd4beba110476be3c23efe78c66f"
"","145","akinyim-the-clown","akinyim the clown","The most interesting christmas clown, known for dancing in prisons and hospitals on christmas eve.","Female","hair: burgundy dreadlocks; eyes: none; teeth: none; clothing: kente blouse with asymmetric neckline; accessories: none; expression: off-standish; strength: none; weakness: none","c1070dce-48a1-4ae8-b9a4-d070859a8377","a567b355849823dffd062b3833e01c8a6066cc080bdeea2f3a15c2a65f9805f8"
"","146","zawadi-mr-sleep-everywhere","zawadi mr sleep everywhere","Likes sleeping in the weirdest places especially in clubs.","Male","hair: brown; eyes: none; teeth: none; clothing: kente agbada; accessories: none; expression: goofy; strength: none; weakness: none","c22489fe-574b-47f3-9667-c9c798b2d4df","3a4ad022cc6d16d43d4836e7660726fa333489452357bca8b2758f64471a3bcc"
"","147","chepkirui-mr-self-love","chepkirui mr self love","Likes taking care of himself and spending on himself.","Male","hair: burgundy; eyes: none; teeth: none; clothing: black and kente patterned agbada; accessories: none; expression: sleepy; strength: none; weakness:none","1a91e778-d214-476b-a667-94e9ecb8b5ce","25f7580f246d3e21b4f7c5f2e06298de09ceeb70972438396bb987b3e1fc8098"
"","148","naserian-the-fear-fear-dancer","naserian the fear fear dancer","A timid and dancer who is always afraid of a large crowd of audience and yet his dance moves can raise the dead.","Male","hair: face; eyes: none; teeth: none; clothing: yellow and blue ankara; accessories: none; expression: warm; strength: none; weakness: none","8177cf38-8284-4eb4-b19c-04473bcb3b5e","cb8f4ec8f62929fc2eac9d3f2d7d88f82142cbb5e031ff9abbd3818543da1f97"
"","149","wawuda-the-ashawo-of-africa","wawuda the ashawo of africa","Brags about his body count and follows skirt anywhere.","Male","hair: blue; eyes: none; teeth: none; clothing: green top with blue overalls; accessories: none; expression: fear; strength: none; weakness: none","0554bf35-f588-4009-aafc-ef875b878c29","235c9fa0d3f1be147d10a7e4d7590cf5deb5ba762aba9c14973ae5838ccf3ee8"
"","150","kerubo-the-igbo-smoker","kerubo the igbo smoker","Loves only his igbo and is happy when he finds an old blunt.","Male","hair: brown; eyes: none; teeth: none; clothing: brown shirt with dog pattern; accessories: none; expression: smirking strength: none; weakness: none","33ba8e73-7949-4bc7-ba27-37ee1d573946","82c389f925787abf4f29a92d6338bd6c43d290d8a50ccacbc0c12a03a019e8bb"
"","151","rehema-the-olodo","rehema the olodo","Failed primary 5 eight times and like playing football after school.","Male","hair: teal; eyes: none; teeth: none; clothing: purple shirt with yellow accent; accessories: none; expression: euphoric; strength: none; weakness: none","1fb33783-4898-48cf-8a73-f81afc71e1a8","658695af6e3eb003b126bc80e48ce53fe09f8d7a6a282bbe4ff7f02227a6158d"
"","152","nekesa-the-brainbox","nekesa the brainbox","A proposed elite who cannot write a simple speech.","Male","hair: black; eyes: none; teeth: none; clothing: monostrap black ankara with yellow and red patterns; accessories: none; expression: playful; strength: none; weakness: none","7ba909bd-19a1-454d-a86c-a45e85cb94a6","d23c092e81195d1fbc1081b0a98e6d56e1d2dc4476b666b8ff71e69946e35779"
"","153","kiokoli-the-slowrunner","kiokoli the slowrunner","Always running in every race but never making it to the first 5.","Male","hair: black; eyes: none; teeth: none; clothing: maroon agbada with yellow accents; accessories: none; expression: clueless; strength: none; weakness: none","d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba","7e2a7d854aee6c71eab819f102d40d9dcca9487a27b19d08a58c60e9545564e8"
"","154","adjuani-uncle-wire-wire","adjuani uncle wire wire","Mugu money spender that loves spending on women extravagantly.","Male","hair: red; eyes: none; teeth: none; clothing: plain and patterned ankara shirt; accessories: none; expression: anxious; strength: none; weakness: none","36cd959f-d280-41f6-af76-765715c72527","8afa728cc3413ce82fbb674fa8dfa4dbc2fd154573ce8c192a2d1c3801fc6f09"
"","155","ajobaru-a-creative-artist","ajobaru a creative artist","A lovely artist who is known for creating magical art pieces that can spark a smile.","Male","hair: black; eyes: none; teeth: none; clothing: yelow kente shirt; accessories: none; expression: cheerful; strength: none; weakness: none","9d262f55-73d7-4b95-9a82-42356dbb085c","2ca35d798cbe87946bb99b5a7ca35e761ecf68810e69304007382d58af67d764"
"","156","effiadem-the-fireman","effiadem the fireman","A retired military general who always loves shooting at sight.","Male","hair: brown; eyes: none; teeth: none; clothing: black and kente agbada; accessories: none; expression: high; strength: none; weakness: none","a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64","b68eab7a84f68c28e3bce26e787f2a71dfb90c867dbe341f012f0de845d3147e"
"","157","deladem-the-commandoo","deladem the commandoo","The nerd who has watched all war movies but cannot fight a kid.","Male","hair: burgundy; eyes: none; teeth: none; clothing: black and kente agbada; accessories: none; expression: none; strength: none; weakness: none","88106b92-da30-46ad-a3cc-d528683b9e33","15bc7df9c8d765c7dda89b6f46466822adbfe9633a0b96fff59260f8af5565c3"
"","158","dogbeda-the-monger","dogbeda the monger","A fisherman who pracitically live in the river.","Male","hair: orange;  eyes: none; teeth: none; clothing: orange and blue denim; accessories: none; expression: unbothered; strength: none; weakness: none","66a09968-cb92-4378-a588-49947f68c537","417ebf1db417214f75d44ee69888281be02106570d683408b87954ca2eee6af6"
"","159","enyonyam-our-slay-mama","enyonyam our slay mama","Posts new pictures everyday and can snub for africa.","Male","hair: blue; eyes: none; teeth: none; clothing: green top with overall; accessories: none; expression: none; strength:none; weakness: none","5e7c7f9d-d631-4759-9b27-cbaccd33d39f","ef2b5d6e5ccdb739f02eeecdd46bccbcd4eca495913bb7287b36fc969c79fd1d"
"","160","lumusi-pro-technician","lumusi pro technician","The electrician well known for wiring burnt buildings.","Male","hair: red; eyes: none; teeth: none; clothing: white top with blue overalls; accessories: none; expression: high; strength: none; weakness: none","b07676a6-c611-410d-8426-46c9c525189a","c1b3ff4da81eaa32929af2b30126718eca91a22573f63088783ff237270ab3ba"
"TEAM HEADLIGHT","161","funmi-the-fashionist","funmi the fashionist","Funmi enjoys fashion and she always takes opportunity to showcase her wardrobe.","Female","hair: black hair; eyes: none; teeth: none; clothing: aso oke; expression: cool; accessories: head tye and eye glasses; strength: fashion; weakness: men","4f9d99a4-78a2-4fdd-bc30-b027600fa88e","fe887f77ba5fb99f09e63e03c3161950a17806bbd3d4288ee713a8fda9294aaa"
